internal_code,description,procore_code,confidence,basis
07-1000.002,"Elevator Waterproofing",7-71000.000,INFERRED-sibling,"same 07-1000.* as 07-1000.001"
07-1413.001,"Hot-Fluid-Applied Waterproofing",7-71413.000,AUTHORITATIVE,"template SUMIF"
07-1413.002,"Per 2"" Insulation",7-71413.000,INFERRED-sibling,"same 07-1413.* as 07-1413.001"
07-1413.003,"Patios",7-71413.000,INFERRED-sibling,"same 07-1413.* as 07-1413.001"
07-1413.004,"Sky Deck",7-71413.000,INFERRED-sibling,"same 07-1413.* as 07-1413.001"
07-1413.005,"Restaurant / Commercial Patios",7-71413.000,INFERRED-sibling,"same 07-1413.* as 07-1413.001"
07-1800.001,"Traffic Coatings",7-71800.000,AUTHORITATIVE,"template SUMIF"
07-2100.001,"Thermal Insulation",7-72100.000,AUTHORITATIVE,"template SUMIF"
07-2400.001,"Stucco, Plaster, Eifs",7-72400.000,AUTHORITATIVE,"template SUMIF"
07-2500.001,"Weather Barriers",7-72500.000,AUTHORITATIVE,"template SUMIF"
07-2700.001,"Spray-Applied Air Barriers",7-72700.000,AUTHORITATIVE,"template SUMIF"
07-3113.001,"Asphalt Shingles",7-73113.000,AUTHORITATIVE,"template SUMIF"
07-3113.002,"Gutters And Downspouts",7-73113.000,INFERRED-sibling,"same 07-3113.* as 07-3113.001"
07-4213.001,"Metal Panel Siding",7-74213.000,AUTHORITATIVE,"template SUMIF"
07-4600.001,"Siding",7-74600.000,AUTHORITATIVE,"template SUMIF"
07-5000.001,"Membrane Roofing",7-75000.000,AUTHORITATIVE,"template SUMIF"
07-6200.002,"Sheet Metal Flashing",7-76200.000,AUTHORITATIVE,"template SUMIF"
07-7600.003,"Roof Pavers",7-77600.000,AUTHORITATIVE,"template SUMIF"
07-8100.001,"Applied Fire Proofing",7-78100.000,AUTHORITATIVE,"template SUMIF"
07-8400.002,"Firestopping",7-78400.000,AUTHORITATIVE,"template SUMIF"
07-9200.003,"Joint Sealants",7-79200.000,AUTHORITATIVE,"template SUMIF"
07-9500.004,"Expansion Joints",7-79500.000,AUTHORITATIVE,"template SUMIF"
08-1000.001,"Doors, Frames and Hardware",8-81000.000,AUTHORITATIVE,"template SUMIF"
08-3000.001,"Specialty Doors and Frames",8-83000.000,AUTHORITATIVE,"template SUMIF"
08-3113.001,"Access Doors and Panels",8-83113.000,AUTHORITATIVE,"template SUMIF"
08-3613.001,"Overhead and Coiling Doors",8-83613.000,AUTHORITATIVE,"template SUMIF"
08-4000.001,"Aluminum Entrances and Storefronts",8-84000.000,AUTHORITATIVE,"template SUMIF"
08-4000.002,"Aluminum Storefront Doors",8-84000.000,INFERRED-sibling,"same 08-4000.* as 08-4000.001"
08-4400.003,"Curtain Wall",8-84400.000,AUTHORITATIVE,"template SUMIF"
08-5113.001,"Aluminum Windows and Patio Doors",8-85113.000,AUTHORITATIVE,"template SUMIF"
08-5413.001,"Windows and Patio Doors",8-85413.000,AUTHORITATIVE,"template SUMIF"
08-5413.002,"Windows and Patio Doors - Installation",8-85413.000,INFERRED-sibling,"same 08-5413.* as 08-5413.001"
08-6000.001,"Roof Windows and Skylights",8-86000.000,AUTHORITATIVE,"template SUMIF"
08-8000.002,"Glazing",8-88000.000,AUTHORITATIVE,"template SUMIF"
08-8330.003,"Mirrors",8-88330.000,INFERRED-sibling,"same 08-8330.* as 08-8330.004"
08-8330.004,"Mirrors - Residential",8-88330.000,AUTHORITATIVE,"template SUMIF"
08-8700.001,"Window Film",8-88700.000,AUTHORITATIVE,"template SUMIF"
08-9000.001,"Louvers and Vents",8-89000.000,AUTHORITATIVE,"template SUMIF"
09-2116.001,"Gypsum Board Assemblies",9-92116.000,AUTHORITATIVE,"template SUMIF"
09-2216.002,"Steel Stud Metal Framing",9-92216.000,AUTHORITATIVE,"template SUMIF"
09-3000.001,"Tile",9-93000.000,AUTHORITATIVE,"template SUMIF"
09-5123.001,"Acoustical Ceilings",9-95123.000,AUTHORITATIVE,"template SUMIF"
09-6400.001,"Wood Flooring",9-96400.000,AUTHORITATIVE,"template SUMIF"
09-6500.001,"Resilient Flooring",9-96500.000,AUTHORITATIVE,"template SUMIF"
09-6600.001,"Terrazzo Flooring",9-96600.000,AUTHORITATIVE,"template SUMIF"
09-6800.001,"Carpeting",9-96800.000,AUTHORITATIVE,"template SUMIF"
09-7200.001,"Wall Coverings",9-97200.000,AUTHORITATIVE,"template SUMIF"
09-9000.001,"Painting",9-99000.000,AUTHORITATIVE,"template SUMIF"
09-9646.001,"Intumescent Painting",9-99646.000,AUTHORITATIVE,"template SUMIF"
09-9656.001,"Epoxy Flooring",9-99656.000,AUTHORITATIVE,"template SUMIF"
10-0000.001,"Specialties",10-100000.000,AUTHORITATIVE,"template SUMIF"
10-1400.001,"Signage",10-101400.000,AUTHORITATIVE,"template SUMIF"
10-1400.002,"Signage - Exterior Building, Retail, Restaurant",10-101400.000,INFERRED-sibling,"same 10-1400.* as 10-1400.001"
10-1400.003,"Signage - Monument Sign",10-101400.000,INFERRED-sibling,"same 10-1400.* as 10-1400.001"
10-1453.001,"Traffic Signage",10-101453.000,AUTHORITATIVE,"template SUMIF"
10-2113.001,"Toilet Partitions",10-102113.000,AUTHORITATIVE,"template SUMIF"
10-2213.002,"Wire Mesh Storage Cages",10-102213.000,AUTHORITATIVE,"template SUMIF"
10-2226.001,"Operable Partitions",10-102226.000,AUTHORITATIVE,"template SUMIF"
10-2600.001,"Wall and Door Protection",10-102600.000,AUTHORITATIVE,"template SUMIF"
10-2800.001,"Toilet and Bath Accessories",10-102800.000,AUTHORITATIVE,"template SUMIF"
10-2819.001,"Tub and Shower Doors",10-102819.000,AUTHORITATIVE,"template SUMIF"
10-3100.001,"Manufactured Fireplaces - Commons",10-103100.000,AUTHORITATIVE,"template SUMIF"
10-3110.002,"Outdoor Fire Pits",10-103110.000,AUTHORITATIVE,"template SUMIF"
10-4413.001,"Fire Extinguishers and Cabinets",10-104413.000,AUTHORITATIVE,"template SUMIF"
10-5100.001,"Lockers",10-105100.000,AUTHORITATIVE,"template SUMIF"
10-5500.001,"Postal Specialties",10-105500.000,AUTHORITATIVE,"template SUMIF"
10-5500.002,"Package Concierge",10-105500.000,INFERRED-sibling,"same 10-5500.* as 10-5500.001"
10-5623.001,"Closet Shelving",10-105623.000,AUTHORITATIVE,"template SUMIF"
10-7313.001,"Awnings and Canopies",10-107313.000,AUTHORITATIVE,"template SUMIF"
10-7500.001,"Flagpoles",10-107500.000,AUTHORITATIVE,"template SUMIF"
10-9000.001,"Golf Simulator",10-109000.000,AUTHORITATIVE,"template SUMIF"
11-1313.001,"Loading Dock Equip",11-111313.000,AUTHORITATIVE,"template SUMIF"
11-2423.001,"Window Washing System",11-112423.000,AUTHORITATIVE,"template SUMIF"
11-3100.001,"Appliances",11-113100.000,AUTHORITATIVE,"template SUMIF"
11-3110.001,"Outdoor Gas Grill",11-113110.000,AUTHORITATIVE,"template SUMIF"
11-4000.001,"Food Service Equipment",11-114000.000,AUTHORITATIVE,"template SUMIF"
11-6700.001,"Recreational Equipment",11-116700.000,AUTHORITATIVE,"template SUMIF"
11-8216.001,"Trash Compactors",11-118216.000,AUTHORITATIVE,"template SUMIF"
12-2000.001,"Window Treatments",12-122000.000,AUTHORITATIVE,"template SUMIF"
12-3530.001,"Residential Casework - Material",12-123530.000,AUTHORITATIVE,"template SUMIF"
12-3530.002,"Residential Casework - Installation",12-123530.000,INFERRED-sibling,"same 12-3530.* as 12-3530.001"
12-3570.001,"Healthcare Casework and FFE",12-120000.000,INFERRED-divbase,"division 12 base; NO sibling in template"
12-3640.001,"Residential Countertops",12-123640.000,AUTHORITATIVE,"template SUMIF"
12-3663.001,"Window Sills",12-123663.000,AUTHORITATIVE,"template SUMIF"
12-4000.001,"Furnishings and Accessories",12-124000.000,AUTHORITATIVE,"template SUMIF"
12-4813.001,"Entrance Floor Mats and Frames",12-124813.000,AUTHORITATIVE,"template SUMIF"
12-9313.001,"Bike Equipment and Racks",12-129313.000,AUTHORITATIVE,"template SUMIF"
13-1100.001,"Swimming Pool",13-131100.000,AUTHORITATIVE,"template SUMIF"
13-1100.002,"Spa",13-131100.000,INFERRED-sibling,"same 13-1100.* as 13-1100.001"
13-1900.001,"Pet Equipment",13-131900.000,AUTHORITATIVE,"template SUMIF"
13-2416.001,"Saunas",13-132416.000,AUTHORITATIVE,"template SUMIF"
13-3418.001,"Post Frame Building Systems",13-133418.000,AUTHORITATIVE,"template SUMIF"
14-0000.001,"Conveying Equipment",14-140000.000,AUTHORITATIVE,"template SUMIF"
14-2000.001,"Elevators",14-142000.000,AUTHORITATIVE,"template SUMIF"
14-4200.001,"Wheelchair Lifts",14-144200.000,AUTHORITATIVE,"template SUMIF"
14-9182.001,"Trash Chute",14-149182.000,AUTHORITATIVE,"template SUMIF"
21-0000.001,"Fire Suppression System",21-210000.000,AUTHORITATIVE,"template SUMIF"
21-0000.002,"Fire Pump",21-210000.000,INFERRED-sibling,"same 21-0000.* as 21-0000.001"
22-0000.001,"Plumbing",22-220000.000,AUTHORITATIVE,"template SUMIF"
22-0000.002,"Plumbing - Fixtures",22-220000.000,INFERRED-sibling,"same 22-0000.* as 22-0000.001"
22-0000.003,"Domestic Water Pump",22-220000.000,INFERRED-sibling,"same 22-0000.* as 22-0000.001"
22-4129.001,"Shower Pans",22-220000.000,INFERRED-divbase,"division 22 base; NO sibling in template"
23-0000.001,"HVAC",23-230000.000,AUTHORITATIVE,"template SUMIF"
26-0000.001,"Electrical",26-260000.000,AUTHORITATIVE,"template SUMIF"
26-0000.002,"Electrical - Fixtures",26-260000.000,INFERRED-sibling,"same 26-0000.* as 26-0000.001"
26-0000.003,"Electrical - EV Charging",26-260000.000,INFERRED-sibling,"same 26-0000.* as 26-0000.001"
26-0000.004,"Electrical - Site Lighting",26-260000.000,INFERRED-sibling,"same 26-0000.* as 26-0000.001"
26-0000.005,"Electrical - Fire Pump Wiring",26-260000.000,INFERRED-sibling,"same 26-0000.* as 26-0000.001"
27-2000.001,"Data Communications",27-272000.000,AUTHORITATIVE,"template SUMIF"
27-4000.001,"Audio-Video Communications",27-274000.000,AUTHORITATIVE,"template SUMIF"
28-1300.001,"Access Control",28-281300.000,AUTHORITATIVE,"template SUMIF"
28-3000.001,"Video Surveillance",28-283000.000,AUTHORITATIVE,"template SUMIF"
28-4600.001,"Fire Detection And Alarm",28-284600.000,AUTHORITATIVE,"template SUMIF"
28-9010.001,"Radio Amplification System",28-289010.000,AUTHORITATIVE,"template SUMIF"
31-0000.001,"Earthwork",31-310000.000,AUTHORITATIVE,"template SUMIF"
31-2113.001,"Radon Mitigation",31-312113.000,AUTHORITATIVE,"template SUMIF"
31-2500.001,"Erosion Control",31-312500.000,AUTHORITATIVE,"template SUMIF"
31-4000.001,"Shoring",31-314000.000,AUTHORITATIVE,"template SUMIF"
31-6000.001,"Piles, Piers And Caissons",31-316000.000,AUTHORITATIVE,"template SUMIF"
32-1216.001,"Asphalt Paving",32-321216.000,AUTHORITATIVE,"template SUMIF"
32-1216.002,"Asphalt Paving - Light Duty",32-321216.000,INFERRED-sibling,"same 32-1216.* as 32-1216.001"
32-1216.003,"Asphalt Paving - Heavy Duty",32-321216.000,INFERRED-sibling,"same 32-1216.* as 32-1216.001"
32-1313.000,"Concrete Paving",32-321313.000,AUTHORITATIVE,"template SUMIF"
32-1316.001,"Decorative Concrete Paving",32-321316.000,AUTHORITATIVE,"template SUMIF"
32-1343.001,"Pervious Concrete Paving",32-321343.000,AUTHORITATIVE,"template SUMIF"
32-1400.001,"Unit Pavers",32-321400.000,AUTHORITATIVE,"template SUMIF"
32-1613.001,"Site Concrete",32-321613.000,AUTHORITATIVE,"template SUMIF"
32-1313.001,"Surmountable Curb",32-321313.000,INFERRED-sibling,"same 32-1313.* as 32-1313.000"
32-1313.002,"B612 Curb",32-321313.000,INFERRED-sibling,"same 32-1313.* as 32-1313.000"
32-1313.003,"Cross Gutter",32-321313.000,INFERRED-sibling,"same 32-1313.* as 32-1313.000"
32-1313.004,"Light Duty Concrete",32-321313.000,INFERRED-sibling,"same 32-1313.* as 32-1313.000"
32-1313.005,"Heavy Duty Concrete",32-321313.000,INFERRED-sibling,"same 32-1313.* as 32-1313.000"
32-1700.001,"Pavement Markings",32-321700.000,AUTHORITATIVE,"template SUMIF"
32-1813.001,"Artificial Turf",32-321813.000,AUTHORITATIVE,"template SUMIF"
32-3100.001,"Fences and Gates",32-323100.000,AUTHORITATIVE,"template SUMIF"
32-3200.001,"Retaining Walls",32-323200.000,AUTHORITATIVE,"template SUMIF"
32-9000.001,"Landscaping And Irrigation",32-329000.000,AUTHORITATIVE,"template SUMIF"
33-0000.001,"Utilities",33-330000.000,AUTHORITATIVE,"template SUMIF"
33-0000.002,"Water",33-330000.000,INFERRED-sibling,"same 33-0000.* as 33-0000.001"
33-0000.003,"Sanitary",33-330000.000,INFERRED-sibling,"same 33-0000.* as 33-0000.001"
33-0000.004,"Sanitary - Structure",33-330000.000,INFERRED-sibling,"same 33-0000.* as 33-0000.001"
33-0000.005,"Storm - 6"" - 10""",33-330000.000,INFERRED-sibling,"same 33-0000.* as 33-0000.001"
33-0000.006,"Storm - 12"" - 18""",33-330000.000,INFERRED-sibling,"same 33-0000.* as 33-0000.001"
33-0000.007,"Storm - 24"" - 36""",33-330000.000,INFERRED-sibling,"same 33-0000.* as 33-0000.001"
33-0000.008,"Storm - 42"" - 60""",33-330000.000,INFERRED-sibling,"same 33-0000.* as 33-0000.001"
33-0000.009,"Storm - Structure",33-330000.000,INFERRED-sibling,"same 33-0000.* as 33-0000.001"
33-0000.010,"Storm - UG Retention",33-330000.000,INFERRED-sibling,"same 33-0000.* as 33-0000.001"
50-2000.001,"Winter Conditions",50-502000.000,AUTHORITATIVE,"template SUMIF"
50-2000.002,"Temp Enclosures",50-502000.000,INFERRED-sibling,"same 50-2000.* as 50-2000.001"
50-2000.003,"Temp Heaters",50-502000.000,INFERRED-sibling,"same 50-2000.* as 50-2000.001"
50-2000.004,"Temp Gas",50-502000.000,INFERRED-sibling,"same 50-2000.* as 50-2000.001"
50-2000.005,"Wiring for Temp Heaters",50-502000.000,INFERRED-sibling,"same 50-2000.* as 50-2000.001"
50-2000.006,"Temp Gas Piping",50-502000.000,INFERRED-sibling,"same 50-2000.* as 50-2000.001"
50-2000.007,"Poly Windows",50-502000.000,INFERRED-sibling,"same 50-2000.* as 50-2000.001"
50-2000.008,"Snow Removal",50-502000.000,INFERRED-sibling,"same 50-2000.* as 50-2000.001"
80-8001.001,"TBD",80-800001.000,AUTHORITATIVE,"template SUMIF"
80-8002.002,"TBD",80-800000.000,INFERRED-divbase,"division 80 base; NO sibling in template"
80-8003.003,"TBD",80-800000.000,INFERRED-divbase,"division 80 base; NO sibling in template"
80-8004.004,"TBD",80-800000.000,INFERRED-divbase,"division 80 base; NO sibling in template"
80-8005.005,"TBD",80-800000.000,INFERRED-divbase,"division 80 base; NO sibling in template"
80-8006.006,"TBD",80-800000.000,INFERRED-divbase,"division 80 base; NO sibling in template"
01-0230.001,"Building Permit",1-10230.000,AUTHORITATIVE,"template SUMIF"
01-0250.001,"Demolition Permit",1-10250.000,AUTHORITATIVE,"template SUMIF"
01-0260.001,"City Licenses and Misc Permits",1-10260.000,AUTHORITATIVE,"template SUMIF"
