"Number","Revision","Title","Status","Executed","Amount","Schedule Impact","Date Initiated","Change Reason","PCCO",""
"CONT-007","0","Contingency: Fire Suppression Relocation at AL Units","Approved","Yes","0.0","","10/7/2025","FP Construction","PCCO #003",""
"CONT-006","0","Contingency: 20-Mil Wear LVT in lieu of 12-Mil Wear","Approved","Yes","0.0","","10/3/2025","Owner Request","PCCO #003",""
"CONT-005","0","Contingency: Sound Mat and LVT AL Units","Approved","Yes","0.0","","10/3/2025","Owner Request","PCCO #003",""
"CONT-004","0","Contingency: Add Sound Mat to all Unit Carpeted Areas","Approved","Yes","0.0","","10/7/2025","Owner Request","PCCO #003",""
"CONT-003","0","Contingency: Electrical Pad Changes","Approved","Yes","0.0","","9/9/2025","AHJ","PCCO #003",""
"CONT-002","0","Contingency: 3hr Rated Expansion System","Approved","Yes","0.0","","9/9/2025","Allowance","PCCO #003",""
"CONT-001","0"," Contingency: Irrigation System Repair","Approved","Yes","0.0","","9/9/2025","FP Construction","PCCO #003",""
"036","0","Window Treatment Opacity ","Approved","Yes","-1250.0","","3/26/2026","Owner Request","PCCO #017",""
"034","0","Administrative Update to Milestone Terminology (Ref: PCO 008)","Approved","Yes","0.0","","2/27/2026","Owner Request","PCCO #017",""
"033","0","Winter Conditions","Approved","Yes","22755.91","","2/25/2026","Winter Conditions","PCCO #013",""
"032","0","Unit 3101 Flooring Change and added Outlet","Approved","No","950.95","","2/10/2026","Owner Request","PCCO #013",""
"031","0","ASI 010 - Community Room 115 and Cardio 108","Approved","Yes","3969.96","","2/6/2026","Arch/Eng","PCCO #010",""
"030","0","Quartz Windowsill and Unit Vanity Tops","Approved","Yes","-24258.8","","1/30/2026","FP Construction","PCCO #010",""
"029","0","Winter Conditions","Approved","Yes","51515.02","","1/27/2026","Winter Conditions","PCCO #009",""
"028","0","ASI 005 - Unit Mirrors","Approved","Yes","6270.0","","1/6/2026","Owner Request","PCCO #007",""
"027","0","Add Zoning for Maintenance and Marketing Office","Approved","Yes","3657.5","","1/6/2026","Owner Request","PCCO #007",""
"026","0","ASI 009 Unit 2108 Deck Expansion","Approved","Yes","5373.53","","1/6/2026","Owner Request","PCCO #007",""
"025","0","Utility Line Elevation Conflict","Approved","Yes","9823.0","","12/16/2025","Arch/Eng","PCCO #007",""
"024","0","ACT-4 and ACP-4 Finish Selections","Approved","Yes","29625.75","","12/16/2025","Allowance","PCCO #007",""
"023","0","Additional Roof Drains to Storm","Approved","Yes","7368.3","","12/9/2025","Arch/Eng","PCCO #007",""
"022","0","Paint AL Unit Doors","Approved","Yes","1581.09","","12/5/2025","Owner Request","PCCO #007",""
"021","0","AL Unit Appliances","Approved","Yes","5468.37","","11/26/2025","Owner Request","PCCO #007",""
"020","0","Unit Box Walk","Approved","Yes","6661.88","","11/18/2025","Owner Request","PCCO #007",""
"019","0","ASI 007 - Eliminate Restroom Wall Tile","Approved","Yes","-1640.55","","11/18/2025","Arch/Eng","PCCO #007",""
"018","0","RFI 54 - Unit Balcony Privacy Screens","Approved","Yes","8988.44","","11/18/2025","Arch/Eng","PCCO #007",""
"017","0","Trex Decking Selection","Approved","Yes","-9014.28","","11/11/2025","Arch/Eng","PCCO #007",""
"016","0","Marketing Office Finishes RFI 64","Approved","Yes","3470.69","","11/4/2025","Owner Request","PCCO #005",""
"015","0","Deduct Light Fixture Allowance","Approved","Yes","-150000.0","","10/31/2025","Owner Request","PCCO #005",""
"014","0","Elevator Cab Finish","Approved","Yes","-4200.0","","10/29/2025","Arch/Eng","PCCO #005",""
"013","0","ASI 002 - Vertical Grab Bars at Units","Approved","Yes","11751.03","","10/28/2025","Arch/Eng","PCCO #005",""
"012","0","CTW-5 Alternate at Unit Fireplaces","Approved","Yes","-3217.5","","10/23/2025","FP Construction","PCCO #005",""
"011","0","Window Washing Reconciliation","Approved","Yes","-38118.0","","10/21/2025","AHJ","PCCO #005",""
"010","0","10-Year Sealed Lithium Detectors","Approved","Yes","1766.05","","10/16/2025","Owner Request","PCCO #005",""
"009","0","ASI 006 - Phase 1 Corridor Addition","Approved","Yes","32449.08","","10/27/2025","Arch/Eng","PCCO #005",""
"008","0","Permit Delay Time Extension","Approved","Yes","0.0","17","10/2/2025","AHJ","PCCO #005",""
"007","0","ASI 005","Approved","Yes","79948.75","","9/22/2025","Owner Request","PCCO #004",""
"006","0","ASI 004","Approved","Yes","3344.0","","8/26/2025","Arch/Eng","PCCO #002",""
"005","0","ASI 003","Approved","Yes","4370.05","","8/22/2025","Arch/Eng","PCCO #002",""
"004","0","Provide and Install Poles and Power for Site Security","Approved","Yes","22242.83","","6/10/2025","Owner Request","PCCO #001",""
"002","0","Fire Pump Credit","Approved","Yes","-54500.0","","6/10/2025","Allowance","PCCO #001",""
"001","0","OP3 CD Utility Revisions Allowance Reconcile","Approved","Yes","-3140.0","","6/10/2025","Allowance","PCCO #001",""
