Number,Contract Company,Contract Type,Title,ERP Status,Status,Executed,Original Contract Amount,Approved Change Orders,Revised Contract Amount,Pending Change Orders,Draft Change Orders,Invoiced,Payments Issued,% Paid,Remaining Balance Outstanding,Signatures Required,Private,Vendor,Primary Contact,Vendor Zip Code,Vendor Street,Vendor State,Company Name,Vendor Fax,Vendor Phone,Project Number,Project Name,Vendor City,Email Address,Signed Contract Received Date,Subcontract Type,Purchase Order Type,Subcontractor’s Authorized Representative,Subcontractor’s Fee % (Overhead and Profit on Change Orders),Contractor's Authorized Representative,Additional Insured
PO-25-117-104,"CBG Midwest, LLC dba BMSI",Purchase Order,"Supply Bike Racks, FECs, TA",Synced,Approved,Yes,69074,36719.48,105793.48,0,0,85683.68,0,0,105793.48,,Yes,"CBG Midwest, LLC dba BMSI",,55435,4555 West 77th Street,MN,Fendler Patterson Construction,(763) 252-5552,(763) 252-5555,25-117,Orchard Path III,Edina,,12/4/2025,,FP Purchase Order,Steve Thompson,,Ben Urness,
SC-25-117-102,Midwest Fence & Mfg. Co.,Subcontract,Storage Fencing,Synced,Approved,Yes,25252,0,25252,0,0,0,0,0,25252,,Yes,Midwest Fence & Mfg. Co.,,55075,525 East Villaume Ave,MN,Fendler Patterson Construction,(651) 451-6939,(651) 451-2221,25-117,Orchard Path III,South St. Paul,paulc@midwestfenceco.com,6/2/2026,FP Subcontract,,Todd Renfors,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
PO-25-117-081,Builders Millwork Inc,Purchase Order,"Doors, F, H & Millwork",Synced,Approved,Yes,531207,10282,541489,0,0,522989,0,0,541489,,Yes,Builders Millwork Inc,,54755,250 Industrial Drive,WI,Fendler Patterson Construction,,(715) 926-3833,25-117,Orchard Path III,Mondovi,,7/16/2025,,,Tim Sabelko,,Ben Urness,
PO-25-117-083,Nystrom,Purchase Order,Access Door Panels,Synced,Approved,Yes,21600,533.05,22133.05,0,0,22133.05,0,0,22133.05,,Yes,Nystrom,,55428,9300 73rd Ave N,MN,Fendler Patterson Construction,(866) 900-1959,(800) 547-2635,25-117,Orchard Path III,Minneapolis,,9/4/2025,,,Amy Meyer,,Ben Urness,
SC-25-117-0795,Carciofini Company,Subcontract,Expansion Joints,Synced,Approved,Yes,24535,7695,32230,0,0,27007.55,0,0,32230,,Yes,Carciofini Company,,55306,14380 W Burnsville Parkway,MN,Fendler Patterson Construction,(952) 252-0304,(952) 252-0303,25-117,Orchard Path III,Burnsville,,7/29/2025,FP Subcontract,,Adam Bauchle,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-092,"MCI Paint & Drywall, Inc.",Subcontract,Drywall and Paint,Synced,Approved,Yes,1200551,53520,1254071,0,0,1137421.7,0,0,1254071,,Yes,"MCI Paint & Drywall, Inc.",,55337,"12701 Chowen Ave So
Suite 102B",MN,Fendler Patterson Construction,,(952) 985-7778,25-117,Orchard Path III,Burnsville,,8/27/2025,FP Subcontract,,Scott Jensen,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-093,Precision Floors,Subcontract,Flooring,Synced,Approved,Yes,377000,71754.04,448754.04,825,0,414752.42,0,0,448754.04,,Yes,Precision Floors,,55413,"732 Harding St NE, Suite B",MN,Fendler Patterson Construction,,(612) 860-0102,25-117,Orchard Path III,Minneapolis,,8/26/2025,FP Subcontract,,Houston Spooner,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-1028,Installed Building Solutions,Subcontract,Shower Doors,Synced,Approved,No,98175,0,98175,0,0,89632.5,0,0,98175,,Yes,Installed Building Solutions,,55024,21025 Edmonton Ave,MN,Fendler Patterson Construction,651-463-9339,651-463-9333,25-117,Orchard Path III,Farmington,,,FP Subcontract,,Tony Berg,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-033,ATR Commercial Flooring,Subcontract,Gypcrete,Synced,Approved,Yes,216000,10200,226200,0,0,214890,0,0,226200,,Yes,ATR Commercial Flooring,,55432,7108 Commerce Circle W,MN,Fendler Patterson Construction,,(651) 463-1250,25-117,Orchard Path III,Fridley,,9/19/2025,FP Subcontract,,Larry Tolle,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-0721,Voeller Insulation Inc.,Subcontract,Insulation,Synced,Approved,Yes,300620,-77377.52,223242.48,0,0,222530.32,0,0,223242.48,,Yes,Voeller Insulation Inc.,,55369,11720 Brockton Lane,MN,Fendler Patterson Construction,763-416-2191,763-416-8183,25-117,Orchard Path III,Maple Grove,kvoeller@voellerinsulation.com,10/20/2025,FP Subcontract,,Kevin Voeller,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-0722,"Highmark Exteriors, LLC",Subcontract,"Siding, Roofing, Gutters",Synced,Approved,Yes,689858,43559,733417,3846,0,665626.05,0,0,733417,,Yes,"Highmark Exteriors, LLC",,55378,8720 Eagle Creek Pkwy,MN,Fendler Patterson Construction,,(952) 882-8904,25-117,Orchard Path III,Savage,,9/25/2025,FP Subcontract,,Tyler Glenn,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-0930,Precision Floors,Subcontract,Tile,Synced,Approved,Yes,83500,1380.29,84880.29,0,0,75075.93,0,0,84880.29,,Yes,Precision Floors,,55413,"732 Harding St NE, Suite B",MN,Fendler Patterson Construction,,(612) 860-0102,25-117,Orchard Path III,Minneapolis,,10/8/2025,FP Subcontract,,Houston Spooner,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-0840,Artic Glass Company,Subcontract,Aluminum Entrances,Synced,Approved,Yes,158542,15813,174355,0,0,147107.5,0,0,174355,,Yes,Artic Glass Company,,55447,"14940 28th Ave N
Suite B",MN,Fendler Patterson Construction,(763) 780-8019,(763) 780-8011,25-117,Orchard Path III,Plymouth,,10/20/2025,FP Subcontract,,Carson Partain,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
PO-25-117-725,JB Construction Company,Purchase Order,Weather Barriers,Synced,Approved,Yes,38488.18,23247.64,61735.82,0,0,58649.02,0,0,61735.82,,Yes,JB Construction Company,,55379,587 Citation Dr,MN,Fendler Patterson Construction,,,25-117,Orchard Path III,Shakopee,,10/9/2025,,FP Purchase Order,,,,
SC-25-117-095,"Minnesota Acoustics, Inc.",Subcontract,Acoustic Ceiling Tiles,Synced,Approved,Yes,112500,39650,152150,0,0,144542.5,0,0,152150,,Yes,"Minnesota Acoustics, Inc.",,55369,8770 Jefferson Hwy,MN,Fendler Patterson Construction,(763) 424-7273,(763) 424-7272,25-117,Orchard Path III,Maple Grove,,10/22/2025,FP Subcontract,,Lance Hoff,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-040,Installed Building Solutions,Subcontract,Masonry Veneer,Synced,Approved,Yes,516812.35,11000,527812.35,0,0,97379.75,0,0,527812.35,,Yes,Installed Building Solutions,,55024,21025 Edmonton Ave,MN,Fendler Patterson Construction,651-463-9339,651-463-9333,25-117,Orchard Path III,Farmington,,,FP Subcontract,,Tyler Lego,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-079 ,Contract Caulking Inc.,Subcontract,Joint Sealants,Synced,Approved,Yes,87400,1005,88405,0,0,57289.75,0,0,88405,,Yes,Contract Caulking Inc.,,55434,10843 Fillmore St NE,MN,Fendler Patterson Construction,(763) 755-9251,(763) 755-5876,25-117,Orchard Path III,Blaine,,11/12/2025,FP Subcontract,,John Falck,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-088,North American Art,Subcontract,Residential Mirrors,Synced,Approved,Yes,35884.01,974.68,36858.69,0,0,35015.74,0,0,36858.69,,Yes,North American Art,,55418,2845 Anthony Lane South,MN,Fendler Patterson Construction,,(651) 776-8998,25-117,Orchard Path III,St. Anthony,,12/4/2025,FP Subcontract,,Greg Hennes,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-122,CE Contract,Subcontract,Window Treatments,Synced,Approved,Yes,134500,-1250,133250,0,0,48140.3,0,0,133250,,Yes,CE Contract,,55344,7174 Shady Oak Rd.,MN,Fendler Patterson Construction,(952) 895-5108,(952) 693-5105,25-117,Orchard Path III,Eden Prarie,,3/17/2026,FP Subcontract,,Derek Ugland,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-321,"North Country Concrete, Inc.",Subcontract,Site Concrete,Synced,Approved,Yes,84975,3356,88331,0,0,44330.8,0,0,88331,,Yes,"North Country Concrete, Inc.",,55005,23035 Ulysses Street NE,MN,Fendler Patterson Construction,(763) 576-8636,(763) 576-8602,25-117,Orchard Path III,East Bethel,,3/16/2026,FP Subcontract,,Aaron Virkus,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-322,"Bituminous Roadways, Inc",Subcontract,Asphalt Paving,Synced,Approved,Yes,84100,2116,86216,0,0,60177.75,0,0,86216,,Yes,"Bituminous Roadways, Inc",,55120,1520 Commerce Drive,MN,Fendler Patterson Construction,(651) 687-9857,(651) 686-7001,25-117,Orchard Path III,Mendota Heights,,5/7/2026,FP Subcontract,,Chase Lunke,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-0295,"Doran Resident Services, LLC",Subcontract,Final Cleaning,Synced,Approved,Yes,68759,2641,71400,0,0,32660.53,0,0,71400,,Yes,"Doran Resident Services, LLC",,55344,6423 City W Pkwy,MN,Fendler Patterson Construction,,(952) 641-9400,25-117,Orchard Path III,Eden Prairie,,1/28/2026,FP Subcontract,,Sharon Sievers,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-0323,Superior Decks & Railings,Subcontract,Privacy Screen,Synced,Approved,Yes,8741.39,0,8741.39,0,0,1412.92,0,0,8741.39,,Yes,Superior Decks & Railings,,55343,1315 5th Street S,MN,Fendler Patterson Construction,,(952) 246-1892,25-117,Orchard Path III,Hopkins,,3/16/2026,FP Subcontract,,Mike Winkels,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
PO-25-117-067,Structureworks,Purchase Order,Pergolas,Synced,Approved,No,44428.38,0,44428.38,0,0,22814.67,0,0,44428.38,,Yes,Structureworks,,22408,3300 Dill Smith Dr,VA,Fendler Patterson Construction,,,25-117,Orchard Path III,Fredericksburg,,,,FP Purchase Order,,,,
SC-25-117-099,Finishing Touch Plus,Subcontract,Exterior Painting,Synced,Approved,Yes,70000,1640,71640,0,0,68058,0,0,71640,,Yes,Finishing Touch Plus,,54016,"1810 Crest View Dr
#4c",WI,Fendler Patterson Construction,,(715) 222-4687,25-117,Orchard Path III,Hudson,,4/30/2026,FP Subcontract,,David Hernandez,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
_SC-25-117-000,"Fendler Patterson Construction, Inc",Subcontract,Subcontract Template,Not Ready,Draft,No,0,0,0,0,0,0,0,0,0,,Yes,"Fendler Patterson Construction, Inc",,55344,"10050 Crosstown Circle, Suite 110",MN,Fendler Patterson Construction,(952) 890-2916,(952) 890-4364,25-117,Orchard Path III,Eden Prairie,,,FP Subcontract,,Calvin Hayes,10,Calvin Hayes,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
_PO-25-117-001,"Fendler Patterson Construction, Inc",Purchase Order,Purchase Order Template,Not Ready,Draft,No,0,0,0,0,0,0,0,0,0,,Yes,"Fendler Patterson Construction, Inc",,55344,"10050 Crosstown Circle, Suite 110",MN,Fendler Patterson Construction,(952) 890-2916,(952) 890-4364,25-117,Orchard Path III,Eden Prairie,,,,,Ben Urness,,Ben Urness,
