Cost Code Tier 1,Cost Code Tier 2,Cost Type,Budget Code,Budget Code Description,Original Budget Amount,Budget Modifications,Approved COs,Revised Budget,Pending COs,Projected Budget,Committed Costs,Pending Cost Changes,Commitments Invoiced,Direct Costs,ERP Job to Date Cost,Projected Costs,Forecast To Complete,Estimated Cost at Completion,Projected over Under
1 - Division 01 - General Conditions,1-15160.000 - Temporary Project Signs,Material - Material,1-15160.000.Material,Temporary Project Signs.Material,2637.0,0.0,0.0,2637.0,0.0,2637.0,0.0,0.0,0.0,510.39,510.39,510.39,500.0,1010.39,1626.61
1 - Division 01 - General Conditions,1-15160.000 - Temporary Project Signs,Subcontract - Subcontract,1-15160.000.Subcontract,Temporary Project Signs.Subcontract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - Division 01 - General Conditions,1-15170.000 - Temporary Electric,Material - Material,1-15170.000.Material,Temporary Electric.Material,32500.0,0.0,0.0,32500.0,0.0,32500.0,0.0,0.0,0.0,9757.28,9757.28,9757.28,22742.72,32500.0,0.0
1 - Division 01 - General Conditions,1-15180.000 - Temporary Gas (not winter heat),Material - Material,1-15180.000.Material,Temporary Gas (not winter heat).Material,1950.0,0.0,0.0,1950.0,0.0,1950.0,0.0,0.0,0.0,0.0,0.0,0.0,1950.0,1950.0,0.0
1 - Division 01 - General Conditions,1-15190.000 - Temporary Water,Material - Material,1-15190.000.Material,Temporary Water.Material,3250.0,0.0,0.0,3250.0,0.0,3250.0,0.0,0.0,0.0,0.0,0.0,0.0,3250.0,3250.0,0.0
1 - Division 01 - General Conditions,1-16010.000 - Courier services,Material - Material,1-16010.000.Material,Courier services.Material,1300.0,0.0,0.0,1300.0,0.0,1300.0,0.0,0.0,0.0,42.21,42.21,42.21,500.0,542.21,757.79
2 - Division 02 - Site Conditions,2-24100.000 - Demolition,Subcontract - Subcontract,2-24100.000.Subcontract,Demolition.Subcontract,32480.0,0.0,2040.0,34520.0,0.0,34520.0,36029.81,0.0,36029.81,-1938.0,34091.81,34091.81,428.19,34520.0,0.0
2 - Division 02 - Site Conditions,2-29005.000 - Final Cleaning,Subcontract - Subcontract,2-29005.000.Subcontract,Final Cleaning.Subcontract,71250.0,0.0,0.0,71250.0,0.0,71250.0,68759.0,0.0,8251.08,1097.47,9348.55,69856.47,1393.53,71250.0,0.0
2 - Division 02 - Site Conditions,2-29010.000 - Progress Cleaning,Material - Material,2-29010.000.Material,Progress Cleaning.Material,0.0,0.0,0.0,0.0,0.0,0.0,2641.0,0.0,0.0,524.84,524.84,3165.84,0.0,3165.84,-3165.84
2 - Division 02 - Site Conditions,2-29015.000 - Safety,Material - Material,2-29015.000.Material,Safety.Material,6500.0,0.0,1297.5,7797.5,0.0,7797.5,0.0,0.0,0.0,9444.85,9444.85,9444.85,0.0,9444.85,-1647.35
2 - Division 02 - Site Conditions,2-29020.000 - Temp Protection,Material - Material,2-29020.000.Material,Temp Protection.Material,7325.0,0.0,0.0,7325.0,0.0,7325.0,0.0,0.0,0.0,300.27,300.27,300.27,3000.0,3300.27,4024.73
2 - Division 02 - Site Conditions,2-29025.000 - Temporary Partitions,Material - Material,2-29025.000.Material,Temporary Partitions.Material,10000.0,0.0,0.0,10000.0,0.0,10000.0,0.0,0.0,0.0,3552.18,3552.18,3552.18,0.0,3552.18,6447.82
2 - Division 02 - Site Conditions,2-29025.000 - Temporary Partitions,Subcontract - Subcontract,2-29025.000.Subcontract,Temporary Partitions.Subcontract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 - Division 02 - Site Conditions,2-29035.000 - Temporary Fencing,Material - Material,2-29035.000.Material,Temporary Fencing.Material,18750.0,0.0,0.0,18750.0,0.0,18750.0,0.0,0.0,0.0,19387.19,19387.19,19387.19,0.0,19387.19,-637.19
2 - Division 02 - Site Conditions,2-29035.000 - Temporary Fencing,Subcontract - Subcontract,2-29035.000.Subcontract,Temporary Fencing.Subcontract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 - Division 02 - Site Conditions,2-29040.000 - Scrim,Material - Material,2-29040.000.Material,Scrim.Material,2200.0,0.0,0.0,2200.0,0.0,2200.0,0.0,0.0,0.0,10496.75,10496.75,10496.75,0.0,10496.75,-8296.75
2 - Division 02 - Site Conditions,2-29045.000 - Temp Access Roads,Material - Material,2-29045.000.Material,Temp Access Roads.Material,10000.0,0.0,0.0,10000.0,0.0,10000.0,1046.0,0.0,1046.0,0.0,1046.0,1046.0,0.0,1046.0,8954.0
2 - Division 02 - Site Conditions,2-29060.000 - Jobsite Camera,Material - Material,2-29060.000.Material,Jobsite Camera.Material,3900.0,0.0,0.0,3900.0,0.0,3900.0,0.0,0.0,0.0,4125.0,4125.0,4125.0,0.0,4125.0,-225.0
2 - Division 02 - Site Conditions,2-29070.000 - SWPPP Permit,Material - Material,2-29070.000.Material,SWPPP Permit.Material,400.0,0.0,0.0,400.0,0.0,400.0,0.0,0.0,0.0,408.6,408.6,408.6,0.0,408.6,-8.6
2 - Division 02 - Site Conditions,2-29200.000 - Survey & Layout,Material - Material,2-29200.000.Material,Survey & Layout.Material,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12572.5,0.0,12572.5,0.0,0.0,0.0,0.0
2 - Division 02 - Site Conditions,2-29200.000 - Survey & Layout,Subcontract - Subcontract,2-29200.000.Subcontract,Survey & Layout.Subcontract,17785.0,0.0,0.0,17785.0,0.0,17785.0,17750.0,0.0,2160.0,0.0,2160.0,17750.0,35.0,17785.0,0.0
2 - Division 02 - Site Conditions,2-29307.000 - Knox Box,Material - Material,2-29307.000.Material,Knox Box.Material,650.0,0.0,0.0,650.0,0.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,650.0,0.0
2 - Division 02 - Site Conditions,2-29410.000 - Scaffolding & Platforms,Material - Material,2-29410.000.Material,Scaffolding & Platforms.Material,10000.0,0.0,0.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2 - Division 02 - Site Conditions,2-29420.000 - Equipment Rental,Material - Material,2-29420.000.Material,Equipment Rental.Material,6000.0,0.0,0.0,6000.0,0.0,6000.0,0.0,0.0,0.0,43553.67,43553.67,43553.67,0.0,43553.67,-37553.67
2 - Division 02 - Site Conditions,2-29425.000 - Forklift Rental,Material - Material,2-29425.000.Material,Forklift Rental.Material,18000.0,0.0,0.0,18000.0,0.0,18000.0,0.0,0.0,0.0,25698.15,25698.15,25698.15,5000.0,30698.15,-12698.15
2 - Division 02 - Site Conditions,2-29430.000 - Street Sweeping,Material - Material,2-29430.000.Material,Street Sweeping.Material,3600.0,0.0,0.0,3600.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,3600.0,0.0
3 - Division 03 - Concrete,3-33000.000 - Cast in Place Concrete,Material - Material,3-33000.000.Material,Cast in Place Concrete.Material,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 - Division 03 - Concrete,3-33000.000 - Cast in Place Concrete,Subcontract - Subcontract,3-33000.000.Subcontract,Cast in Place Concrete.Subcontract,961750.0,0.0,10660.62,972410.62,0.0,972410.62,980893.62,0.0,980893.62,0.0,980893.62,980893.62,0.0,980893.62,-8483.0
3 - Division 03 - Concrete,3-34100.000 - Precast Structural Concrete,Subcontract - Subcontract,3-34100.000.Subcontract,Precast Structural Concrete.Subcontract,849377.0,0.0,0.0,849377.0,0.0,849377.0,849366.0,0.0,849366.0,0.0,849366.0,849366.0,11.0,849377.0,0.0
3 - Division 03 - Concrete,3-35413.000 - Gypcrete,Subcontract - Subcontract,3-35413.000.Subcontract,Gypcrete.Subcontract,227000.0,0.0,10200.0,237200.0,0.0,237200.0,226200.0,0.0,226200.0,0.0,226200.0,226200.0,0.0,226200.0,11000.0
4 - Division 04 - Masonry,4-40000.000 - Masonry,Subcontract - Subcontract,4-40000.000.Subcontract,Masonry.Subcontract,723953.0,0.0,0.0,723953.0,0.0,723953.0,713062.35,0.0,234755.0,0.0,234755.0,713062.35,7000.0,720062.35,3890.65
5 - Division 05 - Metals,5-51200.000 - Structural Steel,Subcontract - Subcontract,5-51200.000.Subcontract,Structural Steel.Subcontract,143210.0,0.0,3800.0,147010.0,0.0,147010.0,122550.0,0.0,48945.0,0.0,48945.0,122550.0,5000.0,127550.0,19460.0
5 - Division 05 - Metals,5-55000.000 - Metal Fabrications,Subcontract - Subcontract,5-55000.000.Subcontract,Metal Fabrications.Subcontract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 - Division 05 - Metals,5-57210.000 - Aluminum Deck and Railings,Subcontract - Subcontract,5-57210.000.Subcontract,Aluminum Deck and Railings.Subcontract,120360.0,0.0,0.0,120360.0,0.0,120360.0,125000.0,0.0,125000.0,0.0,125000.0,125000.0,0.0,125000.0,-4640.0
"6 - Division 06 - Wood, Plastics,",6-61000.000 - Rough Carpentry Material,Material - Material,6-61000.000.Material,Rough Carpentry Material.Material,1433758.0,-831855.34,-2083.15,599819.51,0.0,599819.51,596869.1,2329.13,586004.07,1447.34,587451.41,600645.57,0.0,600645.57,-826.06
"6 - Division 06 - Wood, Plastics,",6-61010.000 - Rough Carpentry Installation,Subcontract - Subcontract,6-61010.000.Subcontract,Rough Carpentry Installation.Subcontract,760060.0,0.0,2200.0,762260.0,0.0,762260.0,772111.0,0.0,765998.0,0.0,765998.0,772111.0,0.0,772111.0,-9851.0
"6 - Division 06 - Wood, Plastics,",6-61710.000 - Manufactured Wall Panels,Material - Material,6-61710.000.Material,Manufactured Wall Panels.Material,0.0,550773.3,0.0,550773.3,0.0,550773.3,550773.3,0.0,550773.3,0.0,550773.3,550773.3,0.0,550773.3,0.0
"6 - Division 06 - Wood, Plastics,",6-61753.000 - Wood Trusses,Material - Material,6-61753.000.Material,Wood Trusses.Material,0.0,281082.04,2474.11,283556.15,0.0,283556.15,283556.15,0.0,283556.15,0.0,283556.15,283556.15,0.0,283556.15,0.0
"6 - Division 06 - Wood, Plastics,",6-62000.000 - Finish Carpentry Installation,Material - Material,6-62000.000.Material,Finish Carpentry Installation.Material,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.89,530.89,530.89,0.0,530.89,-530.89
"6 - Division 06 - Wood, Plastics,",6-62000.000 - Finish Carpentry Installation,Subcontract - Subcontract,6-62000.000.Subcontract,Finish Carpentry Installation.Subcontract,224575.0,0.0,4570.0,229145.0,0.0,229145.0,225625.0,0.0,170250.0,0.0,170250.0,225625.0,5000.0,230625.0,-1480.0
"6 - Division 06 - Wood, Plastics,",6-62200.000 - Millwork,Material - Material,6-62200.000.Material,Millwork.Material,172820.0,0.0,5544.0,178364.0,0.0,178364.0,203593.0,0.0,173243.0,0.0,173243.0,203593.0,0.0,203593.0,-25229.0
"6 - Division 06 - Wood, Plastics,",6-64100.000 - Architectural Casework & Millwork,Material - Material,6-64100.000.Material,Architectural Casework & Millwork.Material,45650.0,0.0,39627.81,85277.81,0.0,85277.81,83214.38,0.0,3189.69,0.0,3189.69,83214.38,2063.43,85277.81,0.0
"6 - Division 06 - Wood, Plastics,",6-66116.000 - Solid Surfacing and Ctops,Material - Material,6-66116.000.Material,Solid Surfacing and Ctops.Material,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"6 - Division 06 - Wood, Plastics,",6-67300.000 - Composite Decking,Material - Material,6-67300.000.Material,Composite Decking.Material,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"6 - Division 06 - Wood, Plastics,",6-68700.000 - Pergolas,Subcontract - Subcontract,6-68700.000.Subcontract,Pergolas.Subcontract,76850.0,0.0,0.0,76850.0,0.0,76850.0,54028.38,0.0,22814.67,0.0,22814.67,54028.38,5000.0,59028.38,17821.62
7 - Division 07 - Thermal and Mois,7-71000.000 - Waterproofing,Material - Material,7-71000.000.Material,Waterproofing.Material,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 - Division 07 - Thermal and Mois,7-71000.000 - Waterproofing,Subcontract - Subcontract,7-71000.000.Subcontract,Waterproofing.Subcontract,97342.0,0.0,0.0,97342.0,0.0,97342.0,108500.0,0.0,108500.0,0.0,108500.0,108500.0,0.0,108500.0,-11158.0
7 - Division 07 - Thermal and Mois,7-72100.000 - Thermal Insulation,Material - Material,7-72100.000.Material,Thermal Insulation.Material,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83172.19,83172.19,83172.19,0.0,83172.19,-83172.19
7 - Division 07 - Thermal and Mois,7-72100.000 - Thermal Insulation,Subcontract - Subcontract,7-72100.000.Subcontract,Thermal Insulation.Subcontract,300000.0,0.0,1685.0,301685.0,0.0,301685.0,223242.48,0.0,234242.48,0.0,234242.48,223242.48,78442.52,301685.0,0.0
7 - Division 07 - Thermal and Mois,7-72500.000 - Weather Barriers,Subcontract - Subcontract,7-72500.000.Subcontract,Weather Barriers.Subcontract,42.0,0.0,0.0,42.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0
7 - Division 07 - Thermal and Mois,7-73113.000 - Asphalt Shingles,Subcontract - Subcontract,7-73113.000.Subcontract,Asphalt Shingles.Subcontract,131747.0,0.0,0.0,131747.0,0.0,131747.0,143717.0,0.0,117958.0,0.0,117958.0,143717.0,0.0,143717.0,-11970.0
7 - Division 07 - Thermal and Mois,7-74600.000 - Siding,Subcontract - Subcontract,7-74600.000.Subcontract,Siding.Subcontract,420000.0,0.0,0.0,420000.0,0.0,420000.0,386312.0,0.0,386312.0,0.0,386312.0,386312.0,7000.0,393312.0,26688.0
7 - Division 07 - Thermal and Mois,7-75000.000 - Membrane Roofing,Subcontract - Subcontract,7-75000.000.Subcontract,Membrane Roofing.Subcontract,169400.0,0.0,19758.0,189158.0,0.0,189158.0,194697.0,3846.0,165785.0,0.0,165785.0,198543.0,0.0,198543.0,-9385.0
7 - Division 07 - Thermal and Mois,7-76200.000 - Sheet Metal Flashing and Trim,Subcontract - Subcontract,7-76200.000.Subcontract,Sheet Metal Flashing and Trim.Subcontract,10000.0,0.0,0.0,10000.0,0.0,10000.0,4845.0,0.0,4845.0,0.0,4845.0,4845.0,0.0,4845.0,5155.0
7 - Division 07 - Thermal and Mois,7-78100.000 - Applied Fireproofing,Subcontract - Subcontract,7-78100.000.Subcontract,Applied Fireproofing.Subcontract,18000.0,0.0,0.0,18000.0,0.0,18000.0,1640.0,0.0,0.0,0.0,0.0,1640.0,2500.0,4140.0,13860.0
7 - Division 07 - Thermal and Mois,7-79200.000 - Joint Sealants,Subcontract - Subcontract,7-79200.000.Subcontract,Joint Sealants.Subcontract,90000.0,0.0,0.0,90000.0,0.0,90000.0,88405.0,0.0,28305.0,0.0,28305.0,88405.0,1595.0,90000.0,0.0
7 - Division 07 - Thermal and Mois,7-79500.000 - Expansion Joints,Subcontract - Subcontract,7-79500.000.Subcontract,Expansion Joints.Subcontract,5000.0,0.0,19535.0,24535.0,0.0,24535.0,32230.0,0.0,28429.0,0.0,28429.0,32230.0,0.0,32230.0,-7695.0
8 - Division 08 - Openings,"8-81000.000 - Doors, Frames, Hardware",Material - Material,8-81000.000.Material,"Doors, Frames, Hardware.Material",371719.0,0.0,4738.0,376457.0,0.0,376457.0,379146.0,0.0,370646.0,0.0,370646.0,379146.0,0.0,379146.0,-2689.0
8 - Division 08 - Openings,8-83113.000 - Access Doors and Panels,Material - Material,8-83113.000.Material,Access Doors and Panels.Material,21670.0,0.0,0.0,21670.0,0.0,21670.0,22133.05,0.0,21600.0,0.0,21600.0,22133.05,0.0,22133.05,-463.05
8 - Division 08 - Openings,8-83613.000 - Overhead and Coiling Doors,Subcontract - Subcontract,8-83613.000.Subcontract,Overhead and Coiling Doors.Subcontract,28000.0,0.0,0.0,28000.0,0.0,28000.0,18700.0,0.0,0.0,0.0,0.0,18700.0,0.0,18700.0,9300.0
8 - Division 08 - Openings,8-84000.000 - Aluminum Entrances and Storefronts,Subcontract - Subcontract,8-84000.000.Subcontract,Aluminum Entrances and Storefronts.Subcontract,153744.0,0.0,9213.0,162957.0,0.0,162957.0,174355.0,0.0,107416.0,0.0,107416.0,174355.0,0.0,174355.0,-11398.0
8 - Division 08 - Openings,8-85413.000 - Windows and Patio Doors,Material - Material,8-85413.000.Material,Windows and Patio Doors.Material,432568.0,0.0,0.0,432568.0,0.0,432568.0,355600.17,0.0,350436.67,252.75,350689.42,355852.92,0.0,355852.92,76715.08
8 - Division 08 - Openings,8-88000.000 - Glazing,Subcontract - Subcontract,8-88000.000.Subcontract,Glazing.Subcontract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 - Division 08 - Openings,8-88330.000 - Mirrors,Subcontract - Subcontract,8-88330.000.Subcontract,Mirrors.Subcontract,27740.0,0.0,6000.0,33740.0,0.0,33740.0,36858.69,0.0,36858.69,0.0,36858.69,36858.69,0.0,36858.69,-3118.69
9 - Division 09 - Finishes,9-92116.000 - Gypsum Board Assemblies,Subcontract - Subcontract,9-92116.000.Subcontract,Gypsum Board Assemblies.Subcontract,999703.0,0.0,2369.0,1002072.0,0.0,1002072.0,1005303.0,0.0,957524.0,0.0,957524.0,1005303.0,0.0,1005303.0,-3231.0
9 - Division 09 - Finishes,9-93000.000 - Tile,Subcontract - Subcontract,9-93000.000.Subcontract,Tile.Subcontract,85000.0,0.0,107.39,85107.39,0.0,85107.39,84880.29,0.0,65468.81,0.0,65468.81,84880.29,227.1,85107.39,0.0
9 - Division 09 - Finishes,9-95123.000 - Acoustical Tile Ceilings,Subcontract - Subcontract,9-95123.000.Subcontract,Acoustical Tile Ceilings.Subcontract,127400.0,0.0,24750.0,152150.0,0.0,152150.0,152150.0,0.0,100395.0,0.0,100395.0,152150.0,0.0,152150.0,0.0
9 - Division 09 - Finishes,9-96500.000 - Resilient Flooring,Subcontract - Subcontract,9-96500.000.Subcontract,Resilient Flooring.Subcontract,376364.0,0.0,63346.29,439710.29,0.0,439710.29,447079.23,825.0,405993.65,0.0,405993.65,447904.23,7000.0,454904.23,-15193.94
9 - Division 09 - Finishes,9-96800.000 - Carpeting,Subcontract - Subcontract,9-96800.000.Subcontract,Carpeting.Subcontract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9 - Division 09 - Finishes,9-97200.000 - Wall Coverings,Subcontract - Subcontract,9-97200.000.Subcontract,Wall Coverings.Subcontract,23175.0,0.0,0.0,23175.0,0.0,23175.0,24086.0,0.0,0.0,0.0,0.0,24086.0,0.0,24086.0,-911.0
9 - Division 09 - Finishes,9-99000.000 - Painting and Coating,Subcontract - Subcontract,9-99000.000.Subcontract,Painting and Coating.Subcontract,225812.0,0.0,8815.0,234627.0,0.0,234627.0,275934.0,0.0,171620.0,0.0,171620.0,275934.0,0.0,275934.0,-41307.0
10 - Division 10 - Specialties,10-101400.000 - Signage,Material - Material,10-101400.000.Material,Signage.Material,1000.0,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,66.34,66.34,66.34,933.66,1000.0,0.0
10 - Division 10 - Specialties,10-101453.000 - Traffic Signage,Material - Material,10-101453.000.Material,Traffic Signage.Material,0.0,0.0,0.0,0.0,0.0,0.0,1935.4,0.0,0.0,0.0,0.0,1935.4,0.0,1935.4,-1935.4
10 - Division 10 - Specialties,10-101453.000 - Traffic Signage,Subcontract - Subcontract,10-101453.000.Subcontract,Traffic Signage.Subcontract,1500.0,0.0,0.0,1500.0,0.0,1500.0,2297.7,0.0,0.0,0.0,0.0,2297.7,0.0,2297.7,-797.7
10 - Division 10 - Specialties,10-102113.000 - Toilet Partitions,Material - Material,10-102113.000.Material,Toilet Partitions.Material,9600.0,0.0,0.0,9600.0,0.0,9600.0,9480.0,0.0,9480.0,0.0,9480.0,9480.0,120.0,9600.0,0.0
10 - Division 10 - Specialties,10-102213.000 - Wire Mesh Storage Cages,Material - Material,10-102213.000.Material,Wire Mesh Storage Cages.Material,29492.0,0.0,0.0,29492.0,0.0,29492.0,0.0,0.0,0.0,23817.44,23817.44,23817.44,4000.0,27817.44,1674.56
10 - Division 10 - Specialties,10-102600.000 - Wall and Door Protection,Material - Material,10-102600.000.Material,Wall and Door Protection.Material,14337.0,0.0,0.0,14337.0,0.0,14337.0,19251.1,0.0,0.0,0.0,0.0,19251.1,0.0,19251.1,-4914.1
10 - Division 10 - Specialties,10-102800.000 - Toilet and Bath Accessories,Material - Material,10-102800.000.Material,Toilet and Bath Accessories.Material,39450.0,0.0,19586.0,59036.0,0.0,59036.0,76629.75,0.0,63160.85,0.0,63160.85,76629.75,0.0,76629.75,-17593.75
10 - Division 10 - Specialties,10-102819.000 - Tub and Shower Doors,Subcontract - Subcontract,10-102819.000.Subcontract,Tub and Shower Doors.Subcontract,101331.0,0.0,0.0,101331.0,0.0,101331.0,98175.0,0.0,65025.0,0.0,65025.0,98175.0,0.0,98175.0,3156.0
10 - Division 10 - Specialties,10-103100.000 - Manufactured Fireplaces,Subcontract - Subcontract,10-103100.000.Subcontract,Manufactured Fireplaces.Subcontract,103600.0,0.0,0.0,103600.0,0.0,103600.0,98625.0,0.0,98625.0,0.0,98625.0,98625.0,0.0,98625.0,4975.0
10 - Division 10 - Specialties,10-104413.000 - Fire Extinguishers and Cabinets,Material - Material,10-104413.000.Material,Fire Extinguishers and Cabinets.Material,6500.0,0.0,1148.0,7648.0,0.0,7648.0,13973.63,0.0,9862.0,0.0,9862.0,13973.63,0.0,13973.63,-6325.63
10 - Division 10 - Specialties,10-105500.000 - Postal Specialties,Material - Material,10-105500.000.Material,Postal Specialties.Material,11378.0,0.0,0.0,11378.0,0.0,11378.0,11377.99,0.0,11377.99,0.0,11377.99,11377.99,0.01,11378.0,0.0
10 - Division 10 - Specialties,10-105623.000 - Closet Shelving,Material - Material,10-105623.000.Material,Closet Shelving.Material,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.09,285.09,285.09,0.0,285.09,-285.09
10 - Division 10 - Specialties,10-105623.000 - Closet Shelving,Subcontract - Subcontract,10-105623.000.Subcontract,Closet Shelving.Subcontract,24000.0,0.0,0.0,24000.0,0.0,24000.0,23684.08,0.0,17763.06,0.0,17763.06,23684.08,315.92,24000.0,0.0
11 - Division 11 - Equipment,11-112423.000 - Window Washing System,Material - Material,11-112423.000.Material,Window Washing System.Material,0.0,38118.0,-38118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
