Event #,Event Title,Cost Code,Cost Type,Budget Code,Description,Vendor,Contract,UOM,Revenue Unit Qty,Revenue Unit Cost,Revenue ROM,Prime PCO,Latest Price,Cost Unit Qty,Cost Unit Cost,Cost ROM,RFQ,Commitment,Latest Cost,Over / Under,Budget Modification
INT-001,Internal CO M to S,2-29200.000 - Survey & Layout,Material - Material,,Curb and Gutter,WSB,SC-25-117-029,ls,0.0,$0.00,$0.00,,$0.00,-1.0,"$2,120.00","-$2,120.00",,"-$2,120.00","-$2,120.00","$2,120.00",
INT-001,Internal CO M to S,2-29200.000 - Survey & Layout,Material - Material,,"Utility Staking (Storm, Sanitary, Water)",WSB,SC-25-117-029,ls,0.0,$0.00,$0.00,,$0.00,-1.0,"$4,505.00","-$4,505.00",,"-$4,505.00","-$4,505.00","$4,505.00",
INT-001,Internal CO M to S,2-29200.000 - Survey & Layout,Material - Material,,Filtration Basin (Top/Bottom Contour),WSB,SC-25-117-029,ls,0.0,$0.00,$0.00,,$0.00,-1.0,$530.00,-$530.00,,-$530.00,-$530.00,$530.00,
INT-001,Internal CO M to S,2-29200.000 - Survey & Layout,Material - Material,,"Miscellaneous Site Features (Bollards, Transformer/Generator Pad, Light Poles",WSB,SC-25-117-029,ls,0.0,$0.00,$0.00,,$0.00,-1.0,"$1,590.00","-$1,590.00",,"-$1,590.00","-$1,590.00","$1,590.00",
INT-001,Internal CO M to S,2-29200.000 - Survey & Layout,Material - Material,,Staking of Pedestrian Path (North Side),WSB,SC-25-117-029,ls,0.0,$0.00,$0.00,,$0.00,-1.0,$575.00,-$575.00,,-$575.00,-$575.00,$575.00,
INT-001,Internal CO M to S,2-29200.000 - Survey & Layout,Subcontract - Subcontract,,Construction Staking and Survey,WSB,SC-25-117-029,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$17,750.00","$17,750.00",,"$17,750.00","$17,750.00","-$17,750.00",
162,Supply outdoor FEC,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$7.27,$0.00,$7.27,,,,,,0.0,$7.27,
162,Supply outdoor FEC,60-604000.000 - Fee,Material - Material,,,,,,,,$25.43,$0.00,$25.43,,,,,,0.0,$25.43,
162,Supply outdoor FEC,10-104413.000 - Fire Extinguishers and Cabinets,Material - Material,,Supply one outdoor FEC and FE for the grill area.,"CBG Midwest, LLC dba BMSI",PO-25-117-104,ls,1.0,$726.63,$726.63,,$726.63,1.0,$726.63,$726.63,,$726.63,$726.63,$0.00,
161,Unit Floor Prep,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$65.40,$0.00,$65.40,,,,,,0.0,$65.40,
161,Unit Floor Prep,60-604000.000 - Fee,Material - Material,,,,,,,,$228.92,$0.00,$228.92,,,,,,0.0,$228.92,
161,Unit Floor Prep,9-96500.000 - Resilient Flooring,Subcontract - Subcontract,,Additional floor prep required at unit patios doors. Includes labor and materials for Level 3 and Level 2.,Precision Floors,SC-25-117-093,ls,1.0,"$6,540.44","$6,540.44",,"$6,540.44",1.0,"$6,540.44","$6,540.44",,"$6,540.44","$6,540.44",$0.00,
160,Barrier Gates,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
160,Barrier Gates,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
160,Barrier Gates,5-51200.000 - Structural Steel,Subcontract - Subcontract,,Supply and install all stair tower barrier gates.,"D G Welding & Mfg., Inc.",SC-25-117-051,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$3,075.00","$3,075.00",,"$3,075.00","$3,075.00","-$3,075.00",
159,Additional Concrete Sidewalk,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
159,Additional Concrete Sidewalk,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
159,Additional Concrete Sidewalk,32-321613.000 - Site Concrete,Subcontract - Subcontract,,Additional concrete sidewalk at the north side of the building to connect to existing.,"North Country Concrete, Inc.",SC-25-117-321,,0.0,$0.00,$0.00,,$0.00,1.0,"$2,856.00","$2,856.00",,"$2,856.00","$2,856.00","-$2,856.00",
158,Install Ovens and Cooktops,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$56.25,$0.00,$56.25,,,,,,0.0,$56.25,
158,Install Ovens and Cooktops,60-604000.000 - Fee,Material - Material,,,,,,,,$196.88,$0.00,$196.88,,,,,,0.0,$196.88,
158,Install Ovens and Cooktops,6-62000.000 - Finish Carpentry Installation,Subcontract - Subcontract,,Set all ovens and cooktops in units.,JB Finishes,SC-25-117-062,ls,1.0,"$5,625.00","$5,625.00",,"$5,625.00",1.0,"$5,625.00","$5,625.00",,"$5,625.00","$5,625.00",$0.00,
157,Labor for Insulation,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
157,Labor for Insulation,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
157,Labor for Insulation,7-72100.000 - Thermal Insulation,Subcontract - Subcontract,,Additional labor to supplement insulation install.  ,Voeller Insulation Inc.,SC-25-117-0721,ls,0.0,$0.00,$0.00,,$0.00,-1.0,"$11,000.00","-$11,000.00",,"-$11,000.00","-$11,000.00","$11,000.00",
157,Labor for Insulation,4-40000.000 - Masonry,Subcontract - Subcontract,,Additional labor to supplement insulation install.  ,Installed Building Solutions,SC-25-117-040,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$11,000.00","$11,000.00",,"$11,000.00","$11,000.00","-$11,000.00",
156,Elevator Wall Framing,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$59.60,$0.00,$59.60,,,,,,0.0,$59.60,
156,Elevator Wall Framing,60-604000.000 - Fee,Material - Material,,,,,,,,$208.60,$0.00,$208.60,,,,,,0.0,$208.60,
156,Elevator Wall Framing,9-92116.000 - Gypsum Board Assemblies,Subcontract - Subcontract,,Supply and install labor and materials for CH Stud Shaft walls along elevator lobbies for infill.,"MCI Paint & Drywall, Inc.",SC-25-117-092,ls,1.0,"$5,960.00","$5,960.00",,"$5,960.00",1.0,"$5,960.00","$5,960.00",,"$5,960.00","$5,960.00",$0.00,
155,Additional Class 5,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
155,Additional Class 5,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
155,Additional Class 5,32-321216.000 - Asphalt Paving,Subcontract - Subcontract,,Additional Class 5 Rock,"Bituminous Roadways, Inc",SC-25-117-322,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$2,116.00","$2,116.00",,"$2,116.00","$2,116.00","-$2,116.00",
154,Paint Microwave Shrouds,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
154,Paint Microwave Shrouds,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
154,Paint Microwave Shrouds,,,,Paint unit microwave shrouds,"MCI Paint & Drywall, Inc.",SC-25-117-092,,0.0,$0.00,$0.00,,$0.00,1.0,"$5,000.00","$5,000.00",,,"$5,000.00","-$5,000.00",
153,Irrigation System Repairs,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
153,Irrigation System Repairs,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
153,Irrigation System Repairs,32-329000.000 - Landscaping and Irrigation,Subcontract - Subcontract,,,"Autumn Ridge Landscaping, Inc.",SC-25-117-323,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$4,000.00","$4,000.00",,,"$4,000.00","-$4,000.00",
152,Additional FE & FECs,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
152,Additional FE & FECs,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
152,Additional FE & FECs,10-104413.000 - Fire Extinguishers and Cabinets,Material - Material,,Supply 4 additional fire extinguishers and fire extinguisher cabinets.,"CBG Midwest, LLC dba BMSI",PO-25-117-104,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$2,760.00","$2,760.00",,"$2,760.00","$2,760.00","-$2,760.00",
151,Additional Toilet Accessories,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
151,Additional Toilet Accessories,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
151,Additional Toilet Accessories,10-102800.000 - Toilet and Bath Accessories,Material - Material,,Supply additional TAs,"CBG Midwest, LLC dba BMSI",PO-25-117-104,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$6,906.50","$6,906.50",,"$6,906.50","$6,906.50","-$6,906.50",
150,Contingency: Ballast Materials,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
150,Contingency: Ballast Materials,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
150,Contingency: Ballast Materials,7-75000.000 - Membrane Roofing,Subcontract - Subcontract,,Colored ballasted materials at Community Roof,"Highmark Exteriors, LLC",SC-25-117-0722,ls,0.0,$0.00,$0.00,"$19,758.00","$19,758.00",1.0,"$19,758.00","$19,758.00",,"$19,758.00","$19,758.00",$0.00,
150,Contingency: Ballast Materials,60-601005.000 - Design Contingency,Material - Material,,Colored ballasted materials at Community Roof,,,,0.0,$0.00,$0.00,"-$10,304.54","-$10,304.54",-1.0,"$10,304.54","-$10,304.54",,,"-$10,304.54",$0.00,
150,Contingency: Ballast Materials,60-601000.000 - Construction Contingency,Material - Material,,Colored ballasted materials at Community Roof,,,,0.0,$0.00,$0.00,"-$9,453.46","-$9,453.46",-1.0,"$9,453.46","-$9,453.46",,,"-$9,453.46",$0.00,
149,HM Frame Repairs,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
149,HM Frame Repairs,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
149,HM Frame Repairs,9-92116.000 - Gypsum Board Assemblies,Subcontract - Subcontract,,Repairs to drywall as a result of HM frames being installed out of sequences.,"MCI Paint & Drywall, Inc.",SC-25-117-092,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$17,628.00","$17,628.00",,"$17,628.00","$17,628.00","-$17,628.00",
148,High Early Concrete Approach Apron,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
148,High Early Concrete Approach Apron,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
148,High Early Concrete Approach Apron,32-321613.000 - Site Concrete,Subcontract - Subcontract,,Install concrete approach apron with high early concrete mix.,"North Country Concrete, Inc.",SC-25-117-321,ls,0.0,$0.00,$0.00,,$0.00,1.0,$500.00,$500.00,,$500.00,$500.00,-$500.00,
147,Additional Grab Bars,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
147,Additional Grab Bars,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
147,Additional Grab Bars,10-102800.000 - Toilet and Bath Accessories,Material - Material,,Supply and install additional grab bars,"CBG Midwest, LLC dba BMSI",PO-25-117-104,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$5,624.40","$5,624.40",,"$5,624.40","$5,624.40","-$5,624.40",
146,Construction Contingency: Storage Cages,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
146,Construction Contingency: Storage Cages,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
146,Construction Contingency: Storage Cages,32-323100.000 - Fences and Gates,Subcontract - Subcontract,,Construction Contingency use for supply and install of chain link storage cages in the lower level.,,,ls,0.0,$0.00,$0.00,"$25,252.00","$25,252.00",1.0,"$25,252.00","$25,252.00",,,"$25,252.00",$0.00,
146,Construction Contingency: Storage Cages,60-601000.000 - Construction Contingency,Material - Material,,Construction Contingency use for supply and install of chain link storage cages in the lower level.,,,ls,0.0,$0.00,$0.00,"-$25,252.00","-$25,252.00",-1.0,"$25,252.00","-$25,252.00",,,"-$25,252.00",$0.00,
145,Repair Trellis and Replace Door,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
145,Repair Trellis and Replace Door,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
145,Repair Trellis and Replace Door,6-61010.000 - Rough Carpentry Installation,Subcontract - Subcontract,,Repair damaged trellis structure at load in unit and replace incorrect patio door.,Wolf Construction,SC-25-117-061,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$1,200.00","$1,200.00",,"$1,200.00","$1,200.00","-$1,200.00",
144,Adjustment to CCO 004 for correct value,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$4.83,$0.00,$4.83,,,,,,0.0,$4.83,
144,Adjustment to CCO 004 for correct value,60-604000.000 - Fee,Material - Material,,,,,,,,$16.91,$0.00,$16.91,,,,,,0.0,$16.91,
144,Adjustment to CCO 004 for correct value,3-33000.000 - Cast in Place Concrete,Subcontract - Subcontract,,Adjustment to CCO 004 for correct value,"Gresser Companies, Inc.",SC-25-117-030,ls,1.0,$483.00,$483.00,,$483.00,1.0,$483.00,$483.00,,$483.00,$483.00,$0.00,
143,Install Treated OSB at Balconies,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
143,Install Treated OSB at Balconies,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
143,Install Treated OSB at Balconies,6-61010.000 - Rough Carpentry Installation,Subcontract - Subcontract,,Install treated OSB all sides of balconies.,Wolf Construction,SC-25-117-061,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$4,913.00","$4,913.00",,"$4,913.00","$4,913.00","-$4,913.00",
142,Progress Cleaning,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
142,Progress Cleaning,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
142,Progress Cleaning,2-29010.000 - Progress Cleaning,Material - Material,,Progress cleaning during construction,"Doran Resident Services, LLC",SC-25-117-0295,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$2,641.00","$2,641.00",,"$2,641.00","$2,641.00","-$2,641.00",
141,Intumescent Painting at LL beam,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
141,Intumescent Painting at LL beam,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
141,Intumescent Painting at LL beam,7-78100.000 - Applied Fireproofing,Subcontract - Subcontract,, Intumescent paint at the lower-level steel structure ,Finishing Touch Plus,SC-25-117-099,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$1,640.00","$1,640.00",,"$1,640.00","$1,640.00","-$1,640.00",
140,Additional Floro Prep,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$18.30,$0.00,$18.30,,,,,,0.0,$18.30,
140,Additional Floro Prep,60-604000.000 - Fee,Material - Material,,,,,,,,$64.05,$0.00,$64.05,,,,,,0.0,$64.05,
140,Additional Floro Prep,9-96500.000 - Resilient Flooring,Subcontract - Subcontract,,Additional floor prep at L3,Precision Floors,SC-25-117-093,ls,1.0,"$1,830.10","$1,830.10",,"$1,830.10",1.0,"$1,830.10","$1,830.10",,,"$1,830.10",$0.00,
139,Install Lintel Plate Garage,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
139,Install Lintel Plate Garage,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
139,Install Lintel Plate Garage,5-51200.000 - Structural Steel,Subcontract - Subcontract,,Supply and install one lintel Plate at the garage.,"D G Welding & Mfg., Inc.",SC-25-117-051,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$1,430.00","$1,430.00",,"$1,430.00","$1,430.00","-$1,430.00",
138,Additional Flooring Prep,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
138,Additional Flooring Prep,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
138,Additional Flooring Prep,9-93000.000 - Tile,Subcontract - Subcontract,,Additional Floor Prep at Level 4.,Precision Floors,SC-25-117-0930,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$1,272.90","$1,272.90",,"$1,272.90","$1,272.90","-$1,272.90",
137,Credit for Storefronts,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
137,Credit for Storefronts,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
137,Credit for Storefronts,,,,,,,,,,$0.00,,$0.00,,,$0.00,,,$0.00,$0.00,
136,"Contingency: Additional 24"" Grab Bars",60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
136,"Contingency: Additional 24"" Grab Bars",60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
136,"Contingency: Additional 24"" Grab Bars",10-102800.000 - Toilet and Bath Accessories,Material - Material,,"Supply 25 additional 24"" grab bars for attic stock.","CBG Midwest, LLC dba BMSI",PO-25-117-104,ls,0.0,$0.00,$0.00,$938.00,$938.00,1.0,$938.00,$938.00,,$938.00,$938.00,$0.00,
136,"Contingency: Additional 24"" Grab Bars",60-601005.000 - Design Contingency,Material - Material,,"Supply 25 additional 24"" grab bars for attic stock.",,,ls,0.0,$0.00,$0.00,-$938.00,-$938.00,-1.0,$938.00,-$938.00,,,-$938.00,$0.00,
135,Added FE Cabinet and Extinguisher,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$6.25,$0.00,$6.25,,,,,,0.0,$6.25,
135,Added FE Cabinet and Extinguisher,60-604000.000 - Fee,Material - Material,,,,,,,,$21.88,$0.00,$21.88,,,,,,0.0,$21.88,
135,Added FE Cabinet and Extinguisher,10-104413.000 - Fire Extinguishers and Cabinets,Material - Material,,Supply one additional FE cabinet and fire extinguisher at the 4th floor elevator lobby.,"CBG Midwest, LLC dba BMSI",PO-25-117-104,,1.0,$625.00,$625.00,,$625.00,1.0,$625.00,$625.00,,$625.00,$625.00,$0.00,
134,Contingency Use: Thickend Slab at Community Room Patio,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$4.61,$0.00,$0.00,,,,,,0.0,$0.00,
134,Contingency Use: Thickend Slab at Community Room Patio,60-604000.000 - Fee,Material - Material,,,,,,,,$16.13,$0.00,$0.00,,,,,,0.0,$0.00,
134,Contingency Use: Thickend Slab at Community Room Patio,3-33000.000 - Cast in Place Concrete,Subcontract - Subcontract,,"Thickened slap for pergolas at community room patio,","Gresser Companies, Inc.",SC-25-117-030,,1.0,"$4,295.00","$4,295.00","$4,295.00","$4,295.00",1.0,"$3,834.16","$3,834.16",,"$4,295.00","$4,295.00",$0.00,
134,Contingency Use: Thickend Slab at Community Room Patio,60-601005.000 - Design Contingency,Material - Material,,"Thickened slap for pergolas at community room patio,",,,,-1.0,"$3,834.16","-$3,834.16","-$4,295.00","-$4,295.00",-1.0,"$3,834.16","-$3,834.16",,,"-$3,834.16",-$460.84,
133,Attic Stock Grab bars,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
133,Attic Stock Grab bars,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
133,Attic Stock Grab bars,,,,,,,,,,$0.00,,$0.00,,,$0.00,,,$0.00,$0.00,
132,L2 Roof Membrane Repairs,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
132,L2 Roof Membrane Repairs,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
132,L2 Roof Membrane Repairs,7-75000.000 - Membrane Roofing,Subcontract - Subcontract,,Rapairs to roof  membrand damagd during deck installs,"Highmark Exteriors, LLC",SC-25-117-0722,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$3,846.00","$3,846.00",,"$3,846.00","$3,846.00","-$3,846.00",
132,L2 Roof Membrane Repairs,7-75000.000 - Membrane Roofing,Subcontract - Subcontract,,Rapairs to roof  membrand damagd during deck installs,Wolf Construction,SC-25-117-061,ls,0.0,$0.00,$0.00,,$0.00,-1.0,"$3,846.00","-$3,846.00",,"-$3,846.00","-$3,846.00","$3,846.00",
132,L2 Roof Membrane Repairs,6-61000.000 - Rough Carpentry Material,Material - Material,,Additional materials for Balcony at L2,McCarron's Building Center,PO-25-117-062,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$2,329.13","$2,329.13",,"$2,329.13","$2,329.13","-$2,329.13",
132,L2 Roof Membrane Repairs,6-61000.000 - Rough Carpentry Material,Material - Material,,Additional materials for Balcony at L2,Wolf Construction,SC-25-117-061,ls,0.0,$0.00,$0.00,,$0.00,-1.0,"$2,329.13","-$2,329.13",,,"-$2,329.13","$2,329.13",
131,Contingency: ASI 013,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
131,Contingency: ASI 013,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
131,Contingency: ASI 013,9-93000.000 - Tile,Subcontract - Subcontract,,Add 2 additional tile per surround,Precision Floors,SC-25-117-0930,ls,0.0,$0.00,$0.00,"$4,965.44","$4,965.44",1.0,"$4,965.44","$4,965.44",,"$4,965.44","$4,965.44",$0.00,
131,Contingency: ASI 013,60-601005.000 - Design Contingency,Material - Material,,Add 2 additional tile per surround,,,ls,0.0,$0.00,$0.00,"-$4,965.44","-$4,965.44",-1.0,"$4,965.44","-$4,965.44",,,"-$4,965.44",$0.00,
130,Change the swing at the unit Corner Cabinets,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
130,Change the swing at the unit Corner Cabinets,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
130,Change the swing at the unit Corner Cabinets,,,,,,,,,,$0.00,,$0.00,,,$0.00,,,$0.00,$0.00,
129,Access Panel Supply,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
129,Access Panel Supply,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
129,Access Panel Supply,8-83113.000 - Access Doors and Panels,Material - Material,,"Supply 1 22.5"" x 48"" Insulated Access panel for ceiling mounted applications",Nystrom,PO-25-117-083,ls,0.0,$0.00,$0.00,,$0.00,1.0,$533.05,$533.05,,$533.05,$533.05,-$533.05,
128,Contingency Use: Winter Conditions ,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
128,Contingency Use: Winter Conditions ,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
128,Contingency Use: Winter Conditions ,50-502000.000 - Winter Conditions,Material - Material,,"Temp gas for heat, ground stabilization,",,,ls,0.0,$0.00,$0.00,"$14,729.67","$14,729.67",1.0,"$14,729.67","$14,729.67",,,"$14,729.67",$0.00,
128,Contingency Use: Winter Conditions ,50-502000.000 - Winter Conditions,Material - Material,,Building envelope enclosures,Wolf Construction,SC-25-117-061,ls,0.0,$0.00,$0.00,"$1,762.50","$1,762.50",1.0,"$1,762.50","$1,762.50",,"$1,762.50","$1,762.50",$0.00,
128,Contingency Use: Winter Conditions ,60-601005.000 - Design Contingency,Material - Material,,Contingency Use,,,,0.0,$0.00,$0.00,"-$16,492.17","-$16,492.17",-1.0,"$16,492.17","-$16,492.17",,,"-$16,492.17",$0.00,
